AnimalID,Breed,Age,Weight,LactationPeriod,HealthStatus,FeedType,FeedAmount,WaterIntake,Temperature,Humidity,BarnCondition,PastMilkProduction,MilkingFrequency,VetVisits,MilkProduction
1,Guernsey,9,535.69,182,Sick,Silage,28.89,44.86,19.77,53.44,Dirty,10.20,2,5,30.51
2,Ayrshire,9,416.66,160,Sick,Grain,10.05,41.47,19.98,51.92,Moderate,23.83,1,3,35.23
3,Jersey,4,599.82,291,Healthy,Alfalfa,28.63,99.13,25.65,81.45,Moderate,29.37,3,2,37.67
4,Ayrshire,5,320.36,206,Healthy,Silage,19.95,78.28,23.39,79.52,Moderate,16.33,2,5,29.12
5,Holstein,7,539.61,236,Sick,Grain,21.76,50.30,26.02,34.25,Moderate,22.27,3,5,34.26
6,Holstein,7,371.86,295,Sick,Alfalfa,26.39,89.52,15.65,35.79,Moderate,11.70,1,3,31.43
7,Friesian,3,414.43,257,Sick,Alfalfa,13.69,60.21,16.14,73.94,Clean,24.55,2,5,33.51
8,Holstein,6,423.68,196,Sick,Grain,24.31,46.91,24.20,51.73,Moderate,28.19,3,0,35.60
9,Holstein,8,408.87,221,Sick,Grain,11.01,28.85,27.87,57.91,Dirty,27.90,2,2,32.19
10,Guernsey,2,387.15,212,Sick,Alfalfa,27.55,21.57,23.85,49.06,Clean,18.90,3,5,37.16
11,Jersey,3,425.87,216,Sick,Silage,12.43,96.28,27.85,47.77,Dirty,17.27,2,0,28.71
12,Jersey,6,352.33,269,Sick,Hay,14.25,39.78,19.10,55.81,Moderate,25.52,1,3,26.07
13,Friesian,2,327.24,185,Sick,Grain,18.84,74.25,24.28,42.97,Clean,15.21,3,2,29.81
14,Ayrshire,3,349.73,277,Sick,Pasture,21.67,67.14,17.28,42.31,Dirty,24.10,3,3,35.17
15,Jersey,10,529.68,234,Healthy,Pasture,29.66,82.26,24.43,38.30,Dirty,22.16,1,2,30.55
16,Ayrshire,5,348.73,177,Healthy,Pasture,26.47,32.94,23.75,70.75,Clean,12.51,1,5,28.61
17,Ayrshire,1,337.81,260,Sick,Alfalfa,24.71,95.98,25.27,88.70,Dirty,18.41,3,3,34.00
18,Jersey,3,511.74,187,Sick,Pasture,11.85,56.34,20.37,51.04,Dirty,26.21,1,1,26.78
19,Holstein,7,464.40,180,Sick,Pasture,13.67,30.43,24.40,82.42,Clean,25.49,2,1,36.00
20,Jersey,7,359.30,193,Sick,Hay,17.82,78.26,27.68,41.73,Moderate,26.15,1,0,26.27
21,Jersey,10,371.02,173,Sick,Pasture,18.02,71.78,26.81,80.44,Moderate,14.75,2,5,35.83
22,Jersey,7,375.63,299,Sick,Alfalfa,23.49,54.55,19.69,42.80,Moderate,14.62,1,3,27.23
23,Guernsey,4,565.01,269,Sick,Pasture,28.01,95.37,21.71,31.48,Clean,11.36,2,4,34.84
24,Jersey,1,362.95,264,Sick,Pasture,29.69,59.12,28.82,61.60,Moderate,17.32,2,0,36.77
25,Friesian,9,545.33,220,Sick,Pasture,26.62,51.05,18.71,69.42,Dirty,19.72,2,1,34.45
26,Friesian,2,489.35,282,Healthy,Pasture,16.03,70.45,16.60,60.29,Dirty,16.90,2,4,34.00
27,Jersey,2,426.49,300,Sick,Grain,18.79,29.62,20.68,57.00,Moderate,29.21,1,1,30.00
28,Friesian,3,506.84,267,Sick,Hay,17.70,43.07,27.38,57.35,Dirty,18.38,2,4,38.95
29,Guernsey,5,384.72,244,Sick,Grain,10.09,23.63,27.72,77.29,Moderate,19.21,2,2,32.55
30,Jersey,3,576.10,299,Healthy,Silage,26.33,90.88,25.99,64.21,Clean,24.14,1,3,32.34
31,Jersey,2,462.01,202,Healthy,Pasture,15.47,21.16,23.84,53.87,Clean,11.54,2,4,32.92
32,Holstein,10,406.93,237,Healthy,Grain,23.16,84.79,19.94,42.27,Clean,22.89,2,2,32.06
33,Jersey,7,378.03,298,Sick,Pasture,12.85,65.30,28.59,40.78,Clean,15.61,3,3,31.48
34,Guernsey,5,543.46,288,Healthy,Silage,29.00,59.26,22.08,85.92,Dirty,21.46,2,2,32.26
35,Friesian,8,374.97,189,Healthy,Pasture,15.48,46.98,28.95,48.60,Clean,26.26,2,5,34.04
36,Guernsey,6,336.26,244,Healthy,Pasture,24.28,45.02,30.00,64.26,Moderate,15.73,3,2,28.34
37,Holstein,8,422.24,205,Healthy,Pasture,26.91,79.77,19.43,54.94,Moderate,12.85,2,3,26.84
38,Friesian,5,467.63,245,Healthy,Pasture,23.97,28.58,16.25,46.98,Clean,13.56,2,4,28.00
39,Ayrshire,6,335.98,258,Healthy,Alfalfa,17.53,92.31,23.59,48.26,Dirty,27.42,1,5,31.94
40,Holstein,7,532.72,229,Healthy,Grain,21.75,52.95,21.47,34.98,Clean,19.65,3,3,33.71
41,Guernsey,9,509.13,285,Healthy,Pasture,24.36,64.65,19.89,56.42,Moderate,16.79,2,1,29.29
42,Guernsey,5,338.94,186,Healthy,Pasture,26.60,63.18,20.88,31.82,Clean,15.67,2,2,33.34
43,Guernsey,1,575.61,273,Healthy,Pasture,11.56,63.48,27.95,37.95,Moderate,27.01,1,3,38.30
44,Holstein,8,434.35,265,Healthy,Pasture,17.26,63.44,16.18,36.78,Clean,19.69,1,1,30.65
45,Friesian,7,444.61,228,Healthy,Grain,28.75,36.22,26.67,67.41,Clean,11.82,2,1,32.83
46,Holstein,2,510.67,199,Healthy,Grain,24.11,92.12,23.20,71.84,Clean,20.60,1,3,30.41
47,Guernsey,5,564.97,240,Healthy,Pasture,16.38,91.09,22.05,66.45,Clean,14.02,3,1,28.90
48,Guernsey,7,589.19,290,Healthy,Pasture,17.01,77.41,22.85,60.84,Clean,27.14,2,2,32.89
49,Jersey,8,524.11,206,Healthy,Grain,19.32,40.61,26.69,73.66,Clean,24.53,3,4,32.97
50,Jersey,7,576.12,221,Healthy,Silage,25.13,88.65,26.69,83.89,Clean,21.28,3,1,33.23
51,Friesian,3,346.23,202,Healthy,Pasture,26.49,34.67,26.37,84.32,Clean,14.75,2,1,36.14
52,Guernsey,3,336.11,204,Healthy,Pasture,24.82,87.97,26.09,47.61,Clean,17.90,1,1,32.92
53,Holstein,8,466.56,201,Healthy,Pasture,13.96,66.83,18.36,49.93,Clean,16.21,1,4,30.97
54,Holstein,8,377.23,262,Healthy,Pasture,20.69,38.55,25.40,41.89,Clean,19.35,3,3,31.85
55,Jersey,5,536.83,194,Healthy,Pasture,22.52,42.74,24.01,39.84,Clean,12.70,2,4,28.80
56,Friesian,8,363.54,195,Healthy,Pasture,21.73,84.86,29.92,61.20,Clean,24.41,2,4,33.14
57,Holstein,3,586.53,295,Healthy,Pasture,24.44,56.33,16.88,59.29,Clean,13.71,1,2,28.71
58,Jersey,2,520.71,282,Healthy,Pasture,18.23,67.25,24.35,55.17,Clean,12.75,2,2,32.93
59,Ayrshire,7,585.54,278,Healthy,Pasture,29.20,65.47,23.43,80.27,Clean,14.11,1,5,33.17
60,Guernsey,2,403.11,240,Healthy,Pasture,24.31,85.89,27.37,50.80,Clean,22.85,3,1,34.19
61,Friesian,2,519.47,291,Healthy,Pasture,28.00,45.94,24.36,54.34,Clean,12.53,1,1,31.12
62,Friesian,3,530.29,202,Healthy,Pasture,27.94,65.55,24.85,61.62,Clean,26.65,3,4,32.31
63,Jersey,5,401.21,224,Healthy,Pasture,18.63,55.49,27.69,77.25,Clean,21.64,1,1,31.90
64,Holstein,2,526.82,222,Healthy,Pasture,23.70,33.26,28.64,53.88,Clean,14.02,2,3,30.84
65,Holstein,8,570.48,221,Healthy,Pasture,27.18,87.83,19.43,34.92,Clean,21.34,3,1,33.08
66,Jersey,6,359.98,282,Healthy,Pasture,12.82,52.79,23.41,71.26,Clean,27.33,2,4,33.65
67,Jersey,3,411.30,285,Healthy,Pasture,14.54,83.57,21.75,47.91,Clean,14.21,1,1,33.45
68,Guernsey,6,543.60,231,Healthy,Pasture,28.78,85.20,16.32,75.88,Clean,22.77,3,5,30.93
69,Holstein,4,559.75,229,Healthy,Pasture,20.71,66.33,20.32,69.78,Clean,25.28,2,4,32.50
70,Jersey,4,588.31,242,Healthy,Pasture,29.44,89.55,21.68,50.19,Clean,27.46,2,5,34.43
71,Holstein,9,398.26,232,Healthy,Pasture,20.25,68.01,26.88,55.70,Clean,23.98,2,2,34.25
72,Holstein,5,538.16,243,Healthy,Pasture,26.14,47.11,28.02,80.40,Clean,27.64,2,2,32.71
73,Holstein,4,547.02,275,Healthy,Pasture,22.59,82.55,25.65,53.39,Clean,22.37,3,2,29.96
74,Friesian,10,520.10,284,Healthy,Pasture,16.21,94.03,28.34,53.23,Clean,23.67,2,1,32.78
75,Guernsey,10,375.10,266,Healthy,Pasture,24.22,56.83,29.12,58.17,Clean,22.43,2,4,29.41
76,Holstein,6,537.67,254,Healthy,Pasture,27.83,55.88,29.29,34.23,Clean,25.13,3,4,30.81
77,Holstein,7,412.32,253,Healthy,Pasture,14.73,60.09,27.33,60.29,Clean,14.35,2,5,29.58
78,Jersey,8,421.93,254,Healthy,Pasture,16.22,50.71,27.02,68.90,Clean,21.98,3,1,31.89
79,Guernsey,7,579.09,278,Healthy,Pasture,25.22,90.94,20.75,53.22,Clean,13.45,1,5,34.18
80,Guernsey,3,589.21,246,Healthy,Pasture,20.77,94.05,22.97,40.48,Clean,12.21,1,3,29.37
81,Guernsey,10,369.73,247,Healthy,Pasture,25.51,34.52,24.10,63.64,Clean,17.82,2,2,31.09
82,Friesian,7,554.36,281,Healthy,Pasture,18.64,93.87,23.57,54.96,Clean,21.66,1,3,33.05
83,Jersey,2,342.34,255,Healthy,Pasture,23.99,65.15,23.63,40.29,Clean,12.67,3,3,31.82
84,Jersey,7,419.71,275,Healthy,Pasture,22.04,68.93,24.89,69.55,Clean,12.68,2,1,33.61
85,Friesian,8,444.48,272,Healthy,Pasture,22.58,94.27,28.50,41.66,Clean,27.50,2,1,31.60
86,Friesian,7,391.39,209,Healthy,Pasture,20.39,90.63,29.09,36.67,Clean,12.46,1,5,31.36
87,Friesian,2,563.91,251,Healthy,Pasture,17.90,50.56,24.52,75.66,Clean,15.92,2,2,32.54
88,Guernsey,5,434.64,206,Healthy,Pasture,17.87,81.94,22.95,59.24,Clean,15.96,2,2,32.68
89,Jersey,4,469.81,244,Healthy,Pasture,13.98,87.50,22.33,60.60,Clean,19.22,2,5,29.94
90,Friesian,10,503.97,249,Healthy,Pasture,11.84,75.44,23.61,50.20,Clean,27.13,1,3,33.92
91,Friesian,3,350.35,200,Healthy,Pasture,26.24,45.26,23.59,73.34,Clean,20.09,3,5,34.73
92,Guernsey,9,426.22,282,Healthy,Pasture,23.14,48.05,18.78,49.45,Clean,14.09,1,1,30.12
93,Friesian,9,516.80,225,Healthy,Pasture,24.40,61.12,27.63,58.96,Clean,14.94,1,3,29.84
94,Guernsey,3,364.33,263,Healthy,Pasture,16.84,83.94,23.13,48.54,Clean,12.06,2,3,34.07
95,Jersey,8,561.80,287,Healthy,Pasture,13.78,33.22,18.94,79.53,Clean,18.99,3,2,30.21
96,Jersey,8,471.72,228,Healthy,Pasture,24.99,47.32,24.83,80.57,Clean,14.27,1,3,34.94
97,Jersey,2,419.01,214,Healthy,Pasture,28.15,70.03,29.69,55.95,Clean,21.29,1,2,31.83
98,Holstein,4,405.85,235,Healthy,Pasture,21.06,92.28,25.39,37.35,Clean,17.29,1,2,35.62
99,Jersey,7,392.25,231,Healthy,Pasture,26.02,58.85,19.12,63.06,Clean,13.16,3,1,30.63
100,Friesian,8,338.89,237,Healthy,Pasture,20.21,43.15,19.64,38.22,Clean,21.49,3,4,30.83
